"interaction_type","consumer_species","consumer_metab","consumer_mass","resource_species","resource_metab","resource_mass"
"predacious","Birds",true,2287,"Lanternfish",true,6.9
"predacious","Birds",true,2287,"Goby",true,18.6
"predacious","Birds",true,2287,"Other pelagics",true,2554.85
"predacious","Birds",true,2287,"Horse mackerel",true,5104.9
"predacious","Birds",true,2287,"Chub mackerel",true,3259.5
"predacious","Birds",true,2287,"Other groundfish",true,13127
"predacious","Birds",true,2287,"Hakes",true,22994.5
"predacious","Birds",true,2287,"Squid",false,40
"predacious","Birds",true,2287,"Snoek",true,13012.1
"predacious","Birds",true,2287,"Birds",true,2287
"predacious","Birds",true,2287,"Seals",true,136000
"predacious","Birds",true,2287,"Benthic carnivores",false,10
"predacious","Birds",true,2287,"Mesozooplankton",false,0.01
"predacious","Birds",true,2287,"Macrozooplankton",false,1
"predacious","Birds",true,2287,"Anchovy",true,11.5
"predacious","Seals",true,136000,"Pilchard",true,280
"predacious","Seals",true,136000,"Round herring",true,215.2
"predacious","Seals",true,136000,"Lightfish",true,4.8
"predacious","Seals",true,136000,"Lanternfish",true,6.9
"predacious","Seals",true,136000,"Goby",true,18.6
"predacious","Seals",true,136000,"Other pelagics",true,2554.85
"predacious","Seals",true,136000,"Horse mackerel",true,5104.9
"predacious","Seals",true,136000,"Chub mackerel",true,3259.5
"predacious","Seals",true,136000,"Other groundfish",true,13127
"predacious","Seals",true,136000,"Hakes",true,22994.5
"predacious","Seals",true,136000,"Squid",false,40
"predacious","Seals",true,136000,"Snoek",true,13012.1
"predacious","Seals",true,136000,"Birds",true,2287
"predacious","Seals",true,136000,"Sharks",true,1500
"predacious","Seals",true,136000,"Benthic carnivores",false,10
"predacious","Seals",true,136000,"Anchovy",true,11.5
"predacious","Sharks",true,1500,"Pilchard",true,280
"predacious","Sharks",true,1500,"Round herring",true,215.2
"predacious","Sharks",true,1500,"Lightfish",true,4.8
"predacious","Sharks",true,1500,"Goby",true,18.6
"predacious","Sharks",true,1500,"Other pelagics",true,2554.85
"predacious","Sharks",true,1500,"Horse mackerel",true,5104.9
"predacious","Sharks",true,1500,"Chub mackerel",true,3259.5
"predacious","Sharks",true,1500,"Other groundfish",true,13127
"predacious","Sharks",true,1500,"Hakes",true,22994.5
"predacious","Sharks",true,1500,"Squid",false,40
"predacious","Sharks",true,1500,"Tunas",true,909000
"predacious","Sharks",true,1500,"Snoek",true,13012.1
"predacious","Sharks",true,1500,"Kob",true,68000
"predacious","Sharks",true,1500,"Yellowtail",true,82040.3
"predacious","Sharks",true,1500,"Geelbek",true,26127.38
"predacious","Sharks",true,1500,"Whales & Dolphins",true,82000
"predacious","Sharks",true,1500,"Birds",true,2287
"predacious","Sharks",true,1500,"Seals",true,136000
"predacious","Sharks",true,1500,"Sharks",true,1500
"predacious","Sharks",true,1500,"Benthic carnivores",false,10
"predacious","Sharks",true,1500,"Mesozooplankton",false,0.01
"predacious","Sharks",true,1500,"Macrozooplankton",false,1
"predacious","Sharks",true,1500,"Anchovy",true,11.5
